المنتج,سعر المنتج,صورة المنتج,رابط المنتج,المنافس,__المنافس__,__صف_الملف__,__سبب_التلف__
عينة روبرتو كافالي بارادايسو او دو بارفيوم 1.2مل,14.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/605a057d-4829-467d-8590-b8663af51a2c-500x500-gTIVUC9AiD5xzYwhQdNbOaRL0GBwH9S1GVQ3Z2b5.jpg",https://mahally.com/products/1313514692/973102834/?queryID=958aeb61bb2146aa151293c9e4be646b&position=1&index=products_v2_store_view,م فنيلا,م فنيلا.csv,0,عينة_أو_مرفوض
عينة زيرجوف كازوماراتي ليرا او دو برفيوم 2مل,25.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/dc27995b-a14b-4758-bd1f-a2a8d48a286e-500x500-UzFzLwCDdnZmf1oEglNT4jbbS17M4vSwRGvm3pme.jpg",https://mahally.com/products/1313514692/214491273/?queryID=958aeb61bb2146aa151293c9e4be646b&position=28&index=products_v2_store_view,م فنيلا,م فنيلا.csv,27,عينة_أو_مرفوض
عينة زيرجوف كيمي امبيريان برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/41aab881-fd0c-4eb1-9bf1-43314891f1bf-500x500-hjfC4zwuPuBrpkfHptaqPMkzz0uKWMAUC6v7Mw1H.jpg",https://mahally.com/products/1313514692/537843908/?queryID=958aeb61bb2146aa151293c9e4be646b&position=29&index=products_v2_store_view,م فنيلا,م فنيلا.csv,28,عينة_أو_مرفوض
عينة زيرجوف كيمي ليلى برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/6240981e-0ae6-4cb6-80dd-5d4e9992d6f2-500x500-EJSW9a9LTjAwQbeoGaUSnWEvHJNfyLFf2mRtRT7f.jpg",https://mahally.com/products/1313514692/1061550892/?queryID=958aeb61bb2146aa151293c9e4be646b&position=30&index=products_v2_store_view,م فنيلا,م فنيلا.csv,29,عينة_أو_مرفوض
عينة زيرجوف كيمي هوليسم برفيوم 2مل,35.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/dd8793f6-2c82-43c9-b140-c6b01ef6d275-500x500-JbSUeMqU3Yhof4VYah5laMOJXtaigBRtGbM2GLEt.jpg",https://mahally.com/products/1313514692/1633890857/?queryID=958aeb61bb2146aa151293c9e4be646b&position=31&index=products_v2_store_view,م فنيلا,م فنيلا.csv,30,عينة_أو_مرفوض
عينة ميمو باريس ايريش ليذر او دو برفيوم 1.5مل,29.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/fd8c3bd5-3a05-485e-b300-aa1fe30727d3-500x500-Esq5YZLikV6QiYlMizpfSLDRi2RGnSxPYhQv1YcH.jpg",https://mahally.com/products/1313514692/586326272/?queryID=958aeb61bb2146aa151293c9e4be646b&position=51&index=products_v2_store_view,م فنيلا,م فنيلا.csv,50,عينة_أو_مرفوض
عينة ديور جادور لور ايسينس دي بارفيوم 1مل,10.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/832cb1b3-ce9e-48f0-889d-3242304188d2-500x500-JMcnX6GmEWuRn8hUbQEUGvPl3VEzl1t7VujTFWp6.jpg",https://mahally.com/products/1313514692/672950422/?queryID=958aeb61bb2146aa151293c9e4be646b&position=52&index=products_v2_store_view,م فنيلا,م فنيلا.csv,51,عينة_أو_مرفوض
عينة جورجيو ارماني سترونجر ويذ يو برفيوم 1.2مل,9.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/fbe59a24-959d-41c7-ab4d-825fb080c707-500x500-B1vHQXUHPx3Q5bFpoV7hEOMWIUy8lUyR2M5hIoFr.jpg",https://mahally.com/products/1313514692/1285197175/?queryID=958aeb61bb2146aa151293c9e4be646b&position=70&index=products_v2_store_view,م فنيلا,م فنيلا.csv,69,عينة_أو_مرفوض
عينة زيرجوف اليكساندريا III برفيوم 2 مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/cd22003b-990e-4dac-a2cd-ec5a1033b04a-500x500-H31C6XlPPR2cy2ioaKshs077xwlP0dksTmaGVSOT.jpg",https://mahally.com/products/1313514692/1634364177/?queryID=958aeb61bb2146aa151293c9e4be646b&position=84&index=products_v2_store_view,م فنيلا,م فنيلا.csv,83,عينة_أو_مرفوض
عينة بلغاري مان ان بلاك بارفيوم 1.5مل,19.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/f0465439-5761-4728-8d48-cb92faae53f1-500x500-07N8brGgvOTO9caQCjJzFjIYQ82pj0eaE3QUkfhL.jpg",https://mahally.com/products/1313514692/1185066429/?queryID=958aeb61bb2146aa151293c9e4be646b&position=100&index=products_v2_store_view,م فنيلا,م فنيلا.csv,99,عينة_أو_مرفوض
عينة روبرتو كافالي بارادايسو او دو بارفيوم 1.2مل,14.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/605a057d-4829-467d-8590-b8663af51a2c-500x500-gTIVUC9AiD5xzYwhQdNbOaRL0GBwH9S1GVQ3Z2b5.jpg",https://mahally.com/products/1313514692/973102834/?queryID=958aeb61bb2146aa151293c9e4be646b&position=1&index=products_v2_store_view,م فنيلا,م فنيلا.csv,100,عينة_أو_مرفوض
عينة ميمو باريس فلام او دو برفيوم 1.5مل,29.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/619cf163-24ec-40e7-a1fa-e015892b2f92-500x500-CXFFWYCjkMaMz9Bpvxf5TGW1uBEBggluKzRczNmx.jpg",https://mahally.com/products/1313514692/1024646697/?queryID=294fc49b23df38a85a6358015fcec80e&position=101&index=products_v2_store_view,م فنيلا,م فنيلا.csv,122,عينة_أو_مرفوض
عينة ميمو باريس كابادوكيا او دو برفيوم 1.5 مل,29.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/82fe2de4-6aa2-43a4-826a-60c706369fda-500x500-igvJ3HQXN41w2CMg1VlFqfSk7LzXHYPT5eBJWBzu.jpg",https://mahally.com/products/1313514692/965238005/?queryID=294fc49b23df38a85a6358015fcec80e&position=102&index=products_v2_store_view,م فنيلا,م فنيلا.csv,123,عينة_أو_مرفوض
عينة زيرجوف سيمفونيوم برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/d2a54395-2a40-42bc-b155-7cc98fcb409e-500x500-lDKeVsDKQECBIGIp4bNaRdmkzPkyBjtSHKlDl92X.jpg",https://mahally.com/products/1313514692/587295534/?queryID=294fc49b23df38a85a6358015fcec80e&position=120&index=products_v2_store_view,م فنيلا,م فنيلا.csv,141,عينة_أو_مرفوض
عينة ديور سوفاج برفيوم 1مل,10.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/f17a7653-fc3e-4e4d-a4a9-2b88b6617860-500x500-Kb2fJvu8u4vUPLaew8U73VpxtSCFvxSRvwWNLVud.jpg",https://mahally.com/products/1313514692/1207733482/?queryID=294fc49b23df38a85a6358015fcec80e&position=131&index=products_v2_store_view,م فنيلا,م فنيلا.csv,152,عينة_أو_مرفوض
عينة الجانسو فرايداي اديشين او دو تواليت 15مل,79.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/ed8a3493-30e2-4343-8584-46e9982eaf15-500x500-wGkWfEcSkgKFUsC5YWYPSTM8rhnetpNASku0piNc.jpg",https://mahally.com/products/1313514692/1860973266/?queryID=294fc49b23df38a85a6358015fcec80e&position=132&index=products_v2_store_view,م فنيلا,م فنيلا.csv,153,عينة_أو_مرفوض
عينة جورجيو ارماني اكوا دي جيو او دو برفيوم 15مل,99.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/9a3c2811-6b22-45be-ab75-f941604ce83f-500x500-tapbvlEEhwNGgONxqipZaj1fhjO7yO4Cnyv0PhB7.jpg",https://mahally.com/products/1313514692/1004487384/?queryID=294fc49b23df38a85a6358015fcec80e&position=150&index=products_v2_store_view,م فنيلا,م فنيلا.csv,171,عينة_أو_مرفوض
عينة سوسبيرو اربا بيور ماجيك او دو برفيوم 2مل,27.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/147797c9-a5d6-4fa7-aa4b-b6c65abb19e3-500x500-m3nraBDd2clDAxoNl6yPBr2yB4X1bTAsTLL0CHAX.jpg",https://mahally.com/products/1313514692/1910324545/?queryID=294fc49b23df38a85a6358015fcec80e&position=152&index=products_v2_store_view,م فنيلا,م فنيلا.csv,173,عينة_أو_مرفوض
عينة عطر قوتشي جيلتي بور فيم اليكسر دو برفيوم 1.5مل,29.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/7068094f-6447-43db-89dd-7bd68ccbaa4c-500x500-BVFF6H1iYpOAnWHsKQ5T1x10moQ4KPsUTbPN9gjt.jpg",https://mahally.com/products/1313514692/1533601569/?queryID=294fc49b23df38a85a6358015fcec80e&position=172&index=products_v2_store_view,م فنيلا,م فنيلا.csv,193,عينة_أو_مرفوض
عينة مانسيرا سينك تيري او دو بارفيوم 2مل,12.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/3731f899-c83e-4055-b3c8-6df4ce196bdd-500x500-oEHlDOy6Ox3eNxyEq3Dq6gKEPgQA2EN1j5vuMT2I.jpg",https://mahally.com/products/1313514692/2073622555/?queryID=294fc49b23df38a85a6358015fcec80e&position=183&index=products_v2_store_view,م فنيلا,م فنيلا.csv,204,عينة_أو_مرفوض
عينة نارسيسو رودريغز فور هيم فيتفير مسك او دو تواليت 0.6مل,9.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/e15f5546-46d4-4385-a73e-5e0cbd8eab45-500x500-BMOAcRUeSKZkhvNW7ApdlxDTpO5CXrolgpGKDSGK.jpg",https://mahally.com/products/1313514692/829715122/?queryID=294fc49b23df38a85a6358015fcec80e&position=194&index=products_v2_store_view,م فنيلا,م فنيلا.csv,215,عينة_أو_مرفوض
عينة زيرجوف تورينو 22 او دو برفيوم 2مل,39.0,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/dqYz/b4d859c5-15ce-4073-96c4-1b137f135af9-500x500-2LpNizTiIHIXO0OpFsjs0n5aQgdIq4Va3MtIlVuX.jpg",https://mahally.com/products/1313514692/163280101/?queryID=294fc49b23df38a85a6358015fcec80e&position=196&index=products_v2_store_view,م فنيلا,م فنيلا.csv,217,عينة_أو_مرفوض
